-,-,-
--start---
-401, -48, 929
-401, -48, 929
-366, -3, 950
-429, -4, 928
-447, 0, 921
-420, -13, 922
-402, 5, 923
-402, 5, 923
-399, -4, 937
-452, 1, 927
-465, 17, 918
-411, -12, 936
-411, -12, 936
-,-,-
-17, -12, 1015
-20, -8, 1016
-16, -10, 1015
-16, -10, 1015
-16, -10, 1016
-17, -10, 1017
-16, -10, 1017
-19, -11, 1016
-17, -10, 1016
-18, -11, 1016
-17, -10, 1016
-,-,-
-19, -9, 1015
-17, -9, 1017
-17, -9, 1017
-17, -10, 1015
-18, -9, 1016
-16, -11, 1015
-19, -10, 1018
-,-,-
-18, -9, 1016
-19, -9, 1015
-17, -14, 1015
-16, -9, 1019
-17, -6, 1016
75, -71, 1018
-,-,-
-21, -9, 1019
-21, -9, 1019
-17, -9, 1016
-19, -9, 1016
-17, -10, 1016
-18, -9, 1017
-18, -9, 1016
-18, -9, 1016
-18, -8, 1017
-18, -9, 1017
-17, -10, 1015
-18, -10, 1016
-18, -10, 1015
-18, -9, 1016
-18, -9, 1016
-17, -10, 1016
-18, -9, 1017
-18, -9, 1016
-18, -9, 1016
-18, -10, 1016
-18, -10, 1016
-18, -9, 1016
-18, -9, 1016
-18, -9, 1017
-18, -9, 1017
-19, -8, 1017
-19, -8, 1017
-,-,-
-19, -9, 1017
-19, -9, 1017
-19, -9, 1014
-18, -10, 1015
-17, -10, 1015
-17, -10, 1015
-,-,-
-17, -7, 1015
-22, -16, 1017
-16, -4, 1017
-19, -8, 1016
-20, -9, 1016
-20, -9, 1016
-,-,-
-23, -14, 1017
-1, 55, 1012
-15, -30, 1015
-15, -30, 1015
-28, -35, 1017
-27, -35, 1016
-18, -10, 1016
-20, -8, 1017
-16, -9, 1014
-,-,-
-18, -9, 1016
-19, -9, 1016
-19, -9, 1016
-17, -9, 1015
-19, -11, 1016
-17, -10, 1014
-,-,-
-17, -11, 1016
-20, -10, 1014
-17, -9, 1016
-17, -6, 1016
-18, -9, 1015
-17, -8, 1016
-18, -12, 1015
-,-,-
-22, -11, 1016
-15, -6, 1016
-15, -6, 1016
-16, -4, 1017
-21, -15, 1014
-18, -10, 1016
-,-,-
-18, -9, 1017
-18, -9, 1017
-19, -7, 1017
-18, -10, 1016
-19, -11, 1016
-19, -10, 1016
-,-,-
-22, -9, 1013
-22, -9, 1013
-15, -10, 1017
-18, -10, 1017
